at,at_mcs,type,pid,pid_arg,mfa,atom,prompt,message,term,size,hash
1498734570,425956,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,beam_bool}}","-1",
1498734570,429220,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,beam_type}}","-1",
1498734570,432962,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,beam_split}}","-1",
1498734570,436045,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,beam_dead}}","-1",
1498734570,440032,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,beam_peep}}","-1",
1498734570,442465,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,beam_bsm}}","-1",
1498734570,445392,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,beam_receive}}","-1",
1498734570,447866,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,beam_trim}}","-1",
1498734570,450502,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,beam_flatten}}","-1",
1498734570,452864,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,beam_z}}","-1",
1498734570,454953,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,beam_validator}}","-1",
1498734570,459774,send,"<0.66.0>","<0.45.0>",,,,,"{'$gen_call',{<0.66.0>,#Ref<0.0.1.225>},{get_cwd}}","-1",
1498734570,459870,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,beam_asm}}","-1",
1498734570,462847,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,beam_dict}}","-1",
1498734570,465256,send,"<0.66.0>",,,"code_server",,,"{code_call,<0.66.0>,{ensure_loaded,beam_opcodes}}","-1",
1498734570,467944,send,"<0.66.0>","<0.45.0>",,,,,"{'$gen_call',{<0.66.0>,#Ref<0.0.1.230>},{open,""kitchen.bea#"",[binary,write]}}","-1",
